employee_id,attrition_label,attrition,gender,age,age_group,education,education_field,department,job_role,job_level,work_x_years,range_work_x,count_company_switches,range_company_switches,salary_hike_percent,range_salary_hike,stock_option_level,years_in_curr_role,range_years_in_curr_role,years_since_last_promotion,range_years_since_last_promotion,years_with_curr_manager
362,Current Employees,No,Male,32,25 - 34,High School,Technical Degree,R&D,Laboratory Technician,2,9,5-10 switches,4,3-6 switches,13,11-15 %,0,2,0-3 switches,0,0-3 switches,4
363,Current Employees,No,Female,46,45 - 54,Bachelor's Degree,Technical Degree,Sales,Manager,4,28,25-30 switches,3,3-6 switches,12,11-15 %,1,7,6-9 switches,7,6-9 switches,7
364,Ex-Employees,Yes,Male,28,25 - 34,Master's Degree,Life Sciences,R&D,Laboratory Technician,1,5,0-5 switches,2,0-2 switches,11,11-15 %,0,0,0-3 switches,0,0-3 switches,0
366,Current Employees,No,Male,29,25 - 34,Bachelor's Degree,Medical,Sales,Sales Executive,2,10,5-10 switches,2,0-2 switches,19,16-20 %,2,0,0-3 switches,0,0-3 switches,0
367,Current Employees,No,Male,31,25 - 34,Bachelor's Degree,Medical,R&D,Healthcare Representative,2,10,5-10 switches,0,0-2 switches,21,21-25 %,1,0,0-3 switches,7,6-9 switches,8
369,Current Employees,No,Male,25,25 - 34,Associates Degree,Life Sciences,R&D,Healthcare Representative,2,6,5-10 switches,1,0-2 switches,12,11-15 %,2,3,0-3 switches,1,0-3 switches,5
372,Current Employees,No,Male,45,45 - 54,Associates Degree,Medical,R&D,Healthcare Representative,4,21,20-25 switches,0,0-2 switches,14,11-15 %,0,7,6-9 switches,4,3-6 switches,10
373,Current Employees,No,Male,36,35 - 44,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,1,16,15-20 switches,0,0-2 switches,11,11-15 %,1,13,12-15 switches,10,9-12 switches,11
374,Current Employees,No,Male,55,Over 55,Bachelor's Degree,Medical,R&D,Manager,5,37,35+ switches,0,0-2 switches,14,11-15 %,0,10,9-12 switches,4,3-6 switches,13
376,Ex-Employees,Yes,Male,47,45 - 54,Master's Degree,Life Sciences,R&D,Manager,3,10,5-10 switches,1,0-2 switches,12,11-15 %,1,7,6-9 switches,9,6-9 switches,9
377,Current Employees,No,Male,28,25 - 34,Bachelor's Degree,Medical,R&D,Research Scientist,1,5,0-5 switches,1,0-2 switches,23,21-25 %,1,2,0-3 switches,0,0-3 switches,4
378,Current Employees,No,Male,37,35 - 44,Master's Degree,Medical,Sales,Sales Executive,2,7,5-10 switches,4,3-6 switches,14,11-15 %,1,4,3-6 switches,0,0-3 switches,1
379,Current Employees,No,Male,21,Under 25,Associates Degree,Medical,R&D,Research Scientist,1,3,0-5 switches,1,0-2 switches,17,16-20 %,0,2,0-3 switches,1,0-3 switches,0
380,Current Employees,No,Female,37,35 - 44,Master's Degree,Medical,R&D,Research Director,3,15,10-15 switches,2,0-2 switches,18,16-20 %,2,2,0-3 switches,0,0-3 switches,2
381,Current Employees,No,Female,35,35 - 44,Bachelor's Degree,Life Sciences,R&D,Manager,3,10,5-10 switches,7,6+ switches,18,16-20 %,1,7,6-9 switches,6,3-6 switches,2
382,Current Employees,No,Female,38,35 - 44,Associates Degree,Medical,Sales,Sales Executive,2,8,5-10 switches,1,0-2 switches,24,21-25 %,1,0,0-3 switches,7,6-9 switches,7
384,Current Employees,No,Female,26,25 - 34,Bachelor's Degree,Life Sciences,R&D,Manufacturing Director,2,6,5-10 switches,1,0-2 switches,20,16-20 %,1,5,3-6 switches,1,0-3 switches,4
385,Current Employees,No,Male,50,45 - 54,High School,Life Sciences,R&D,Research Director,5,28,25-30 switches,3,3-6 switches,14,11-15 %,2,4,3-6 switches,1,0-3 switches,6
386,Current Employees,No,Male,53,45 - 54,Master's Degree,Medical,R&D,Research Director,4,21,20-25 switches,3,3-6 switches,16,16-20 %,3,3,0-3 switches,1,0-3 switches,3
387,Current Employees,No,Male,42,35 - 44,High School,Life Sciences,Sales,Sales Executive,2,20,15-20 switches,1,0-2 switches,25,21-25 %,0,16,15-18 switches,11,9-12 switches,6
388,Current Employees,No,Male,29,25 - 34,Associates Degree,Life Sciences,Sales,Sales Executive,2,10,5-10 switches,1,0-2 switches,18,16-20 %,0,7,6-9 switches,0,0-3 switches,9
389,Current Employees,No,Male,55,Over 55,Associates Degree,Technical Degree,R&D,Laboratory Technician,2,12,10-15 switches,3,3-6 switches,19,16-20 %,1,7,6-9 switches,0,0-3 switches,8
390,Current Employees,No,Male,26,25 - 34,Associates Degree,Medical,R&D,Healthcare Representative,2,5,0-5 switches,1,0-2 switches,13,11-15 %,1,3,0-3 switches,3,0-3 switches,3
391,Current Employees,No,Female,37,35 - 44,Bachelor's Degree,Life Sciences,R&D,Research Scientist,1,17,15-20 switches,1,0-2 switches,12,11-15 %,0,12,9-12 switches,5,3-6 switches,7
392,Ex-Employees,Yes,Male,44,35 - 44,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,1,19,15-20 switches,3,3-6 switches,22,21-25 %,1,0,0-3 switches,0,0-3 switches,0
393,Current Employees,No,Male,38,35 - 44,Master's Degree,Life Sciences,R&D,Healthcare Representative,2,10,5-10 switches,9,6+ switches,14,11-15 %,1,2,0-3 switches,1,0-3 switches,2
394,Ex-Employees,Yes,Male,26,25 - 34,Master's Degree,Medical,R&D,Laboratory Technician,1,5,0-5 switches,2,0-2 switches,13,11-15 %,1,2,0-3 switches,0,0-3 switches,2
395,Current Employees,No,Female,28,25 - 34,Associates Degree,Life Sciences,R&D,Research Scientist,1,5,0-5 switches,1,0-2 switches,21,21-25 %,0,3,0-3 switches,0,0-3 switches,2
396,Current Employees,No,Female,49,45 - 54,Master's Degree,Life Sciences,R&D,Research Director,5,22,20-25 switches,9,6+ switches,11,11-15 %,0,2,0-3 switches,1,0-3 switches,2
397,Current Employees,No,Male,36,35 - 44,Bachelor's Degree,Technical Degree,R&D,Research Scientist,2,10,5-10 switches,4,3-6 switches,12,11-15 %,0,0,0-3 switches,7,6-9 switches,7
399,Current Employees,No,Female,31,25 - 34,Bachelor's Degree,Marketing,Sales,Sales Representative,1,2,0-5 switches,1,0-2 switches,11,11-15 %,1,2,0-3 switches,2,0-3 switches,2
401,Ex-Employees,Yes,Male,26,25 - 34,Master's Degree,Marketing,Sales,Sales Executive,2,8,5-10 switches,1,0-2 switches,12,11-15 %,0,7,6-9 switches,7,6-9 switches,4
403,Current Employees,No,Male,37,35 - 44,Bachelor's Degree,Medical,R&D,Research Scientist,1,4,0-5 switches,1,0-2 switches,12,11-15 %,3,2,0-3 switches,1,0-3 switches,2
404,Current Employees,No,Female,42,35 - 44,Bachelor's Degree,Marketing,Sales,Sales Executive,4,23,20-25 switches,5,3-6 switches,14,11-15 %,1,4,3-6 switches,4,3-6 switches,8
405,Ex-Employees,Yes,Male,18,Under 25,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,1,0,0-5 switches,1,0-2 switches,13,11-15 %,0,0,0-3 switches,0,0-3 switches,0
406,Current Employees,No,Male,35,35 - 44,Bachelor's Degree,Marketing,Sales,Sales Executive,3,12,10-15 switches,0,0-2 switches,15,11-15 %,2,9,6-9 switches,6,3-6 switches,9
407,Current Employees,No,Male,36,35 - 44,Master's Degree,Life Sciences,R&D,Laboratory Technician,1,4,0-5 switches,4,3-6 switches,18,16-20 %,2,0,0-3 switches,0,0-3 switches,0
408,Current Employees,No,Male,51,45 - 54,Bachelor's Degree,Medical,R&D,Manufacturing Director,2,13,10-15 switches,5,3-6 switches,18,16-20 %,1,1,0-3 switches,1,0-3 switches,2
410,Current Employees,No,Male,41,35 - 44,Master's Degree,Life Sciences,Sales,Manager,4,22,20-25 switches,1,0-2 switches,19,16-20 %,0,10,9-12 switches,0,0-3 switches,4
411,Current Employees,No,Female,18,Under 25,Bachelor's Degree,Medical,Sales,Sales Representative,1,0,0-5 switches,1,0-2 switches,12,11-15 %,0,0,0-3 switches,0,0-3 switches,0
412,Current Employees,No,Male,28,25 - 34,Associates Degree,Medical,R&D,Healthcare Representative,2,9,5-10 switches,0,0-2 switches,19,16-20 %,0,3,0-3 switches,0,0-3 switches,7
416,Current Employees,No,Male,31,25 - 34,Bachelor's Degree,Technical Degree,Sales,Sales Executive,2,10,5-10 switches,4,3-6 switches,11,11-15 %,1,7,6-9 switches,7,6-9 switches,7
417,Current Employees,No,Male,39,35 - 44,Bachelor's Degree,Medical,R&D,Healthcare Representative,3,19,15-20 switches,0,0-2 switches,17,16-20 %,3,10,9-12 switches,3,0-3 switches,7
419,Current Employees,No,Female,36,35 - 44,Master's Degree,Life Sciences,R&D,Laboratory Technician,2,11,10-15 switches,7,6+ switches,15,11-15 %,1,8,6-9 switches,0,0-3 switches,8
420,Current Employees,No,Male,32,25 - 34,Bachelor's Degree,Life Sciences,Sales,Sales Executive,2,13,10-15 switches,1,0-2 switches,14,11-15 %,1,8,6-9 switches,4,3-6 switches,8
421,Current Employees,No,Female,38,35 - 44,Associates Degree,Life Sciences,R&D,Research Director,3,19,15-20 switches,3,3-6 switches,17,16-20 %,1,8,6-9 switches,0,0-3 switches,1
422,Current Employees,No,Male,58,Over 55,Master's Degree,Life Sciences,R&D,Healthcare Representative,2,12,10-15 switches,2,0-2 switches,13,11-15 %,1,3,0-3 switches,1,0-3 switches,2
423,Current Employees,No,Male,31,25 - 34,Master's Degree,Technical Degree,R&D,Research Scientist,1,6,5-10 switches,0,0-2 switches,12,11-15 %,1,2,0-3 switches,0,0-3 switches,3
424,Current Employees,No,Male,31,25 - 34,Bachelor's Degree,Human Resources,HR,Human Resources,2,9,5-10 switches,3,3-6 switches,12,11-15 %,0,2,0-3 switches,1,0-3 switches,0
425,Current Employees,No,Male,45,45 - 54,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,3,24,20-25 switches,1,0-2 switches,18,16-20 %,1,9,6-9 switches,9,6-9 switches,11
426,Current Employees,No,Male,31,25 - 34,Master's Degree,Life Sciences,R&D,Research Scientist,1,3,0-5 switches,0,0-2 switches,18,16-20 %,1,2,0-3 switches,2,0-3 switches,2
428,Current Employees,No,Female,33,25 - 34,Master's Degree,Life Sciences,R&D,Manager,3,12,10-15 switches,6,3-6 switches,11,11-15 %,2,6,3-6 switches,8,6-9 switches,8
429,Current Employees,No,Male,39,35 - 44,High School,Medical,R&D,Manager,4,21,20-25 switches,1,0-2 switches,14,11-15 %,0,9,6-9 switches,11,9-12 switches,10
430,Current Employees,No,Female,43,35 - 44,Master's Degree,Life Sciences,R&D,Laboratory Technician,1,9,5-10 switches,0,0-2 switches,19,16-20 %,0,7,6-9 switches,1,0-3 switches,7
431,Current Employees,No,Female,49,45 - 54,Associates Degree,Technical Degree,R&D,Healthcare Representative,4,25,20-25 switches,7,6+ switches,12,11-15 %,0,1,0-3 switches,0,0-3 switches,7
433,Ex-Employees,Yes,Male,52,45 - 54,Master's Degree,Medical,R&D,Research Scientist,2,11,10-15 switches,2,0-2 switches,15,11-15 %,0,2,0-3 switches,7,6-9 switches,7
434,Current Employees,No,Female,27,25 - 34,Bachelor's Degree,Life Sciences,R&D,Research Scientist,1,4,0-5 switches,1,0-2 switches,12,11-15 %,0,3,0-3 switches,1,0-3 switches,2
436,Current Employees,No,Female,32,25 - 34,Associates Degree,Technical Degree,Sales,Sales Executive,2,13,10-15 switches,1,0-2 switches,11,11-15 %,0,12,9-12 switches,11,9-12 switches,9
437,Current Employees,No,Male,27,25 - 34,Bachelor's Degree,Life Sciences,Sales,Sales Executive,2,5,0-5 switches,1,0-2 switches,11,11-15 %,0,4,3-6 switches,0,0-3 switches,4
438,Current Employees,No,Male,31,25 - 34,Bachelor's Degree,Marketing,Sales,Sales Executive,2,13,10-15 switches,4,3-6 switches,12,11-15 %,3,7,6-9 switches,1,0-3 switches,7
439,Current Employees,No,Female,32,25 - 34,Master's Degree,Medical,R&D,Research Scientist,2,10,5-10 switches,7,6+ switches,16,16-20 %,0,7,6-9 switches,0,0-3 switches,7
440,Ex-Employees,Yes,Male,28,25 - 34,Master's Degree,Medical,R&D,Research Scientist,1,5,0-5 switches,5,3-6 switches,13,11-15 %,0,2,0-3 switches,2,0-3 switches,2
441,Current Employees,No,Female,30,25 - 34,Associates Degree,Medical,R&D,Research Scientist,2,11,10-15 switches,1,0-2 switches,13,11-15 %,2,8,6-9 switches,1,0-3 switches,9
442,Current Employees,No,Female,31,25 - 34,Associates Degree,Life Sciences,R&D,Manufacturing Director,3,10,5-10 switches,1,0-2 switches,24,21-25 %,1,9,6-9 switches,8,6-9 switches,9
444,Current Employees,No,Male,39,35 - 44,Associates Degree,Medical,R&D,Manager,5,21,20-25 switches,1,0-2 switches,15,11-15 %,1,9,6-9 switches,13,12-15 switches,3
445,Ex-Employees,Yes,Female,39,35 - 44,Associates Degree,Medical,Sales,Sales Executive,2,12,10-15 switches,4,3-6 switches,18,16-20 %,0,0,0-3 switches,0,0-3 switches,0
446,Current Employees,No,Male,33,25 - 34,Bachelor's Degree,Marketing,Sales,Sales Executive,2,9,5-10 switches,3,3-6 switches,14,11-15 %,0,7,6-9 switches,0,0-3 switches,1
447,Current Employees,No,Male,47,45 - 54,Doctoral Degree,Life Sciences,R&D,Research Director,5,21,20-25 switches,4,3-6 switches,11,11-15 %,1,2,0-3 switches,1,0-3 switches,1
448,Current Employees,No,Female,43,35 - 44,Master's Degree,Life Sciences,R&D,Laboratory Technician,2,9,5-10 switches,1,0-2 switches,11,11-15 %,1,7,6-9 switches,0,0-3 switches,0
449,Current Employees,No,Male,27,25 - 34,High School,Marketing,Sales,Sales Executive,2,6,5-10 switches,0,0-2 switches,13,11-15 %,1,4,3-6 switches,1,0-3 switches,4
450,Current Employees,No,Female,54,45 - 54,Master's Degree,Life Sciences,R&D,Research Scientist,2,20,15-20 switches,3,3-6 switches,12,11-15 %,0,3,0-3 switches,0,0-3 switches,3
451,Current Employees,No,Female,43,35 - 44,Bachelor's Degree,Life Sciences,R&D,Healthcare Representative,3,10,5-10 switches,8,6+ switches,16,16-20 %,1,0,0-3 switches,0,0-3 switches,0
452,Current Employees,No,Male,45,45 - 54,Master's Degree,Other,R&D,Research Scientist,2,12,10-15 switches,9,6+ switches,14,11-15 %,2,9,6-9 switches,9,6-9 switches,8
453,Current Employees,No,Male,40,35 - 44,Associates Degree,Medical,Sales,Sales Executive,2,6,5-10 switches,2,0-2 switches,22,21-25 %,3,3,0-3 switches,0,0-3 switches,2
454,Ex-Employees,Yes,Male,29,25 - 34,Master's Degree,Other,R&D,Laboratory Technician,1,7,5-10 switches,1,0-2 switches,11,11-15 %,0,7,6-9 switches,0,0-3 switches,7
455,Current Employees,No,Male,29,25 - 34,Doctoral Degree,Other,R&D,Laboratory Technician,1,4,0-5 switches,0,0-2 switches,17,16-20 %,0,2,0-3 switches,2,0-3 switches,2
456,Current Employees,No,Female,30,25 - 34,Bachelor's Degree,Marketing,Sales,Sales Executive,2,10,5-10 switches,1,0-2 switches,13,11-15 %,3,9,6-9 switches,1,0-3 switches,2
458,Current Employees,No,Female,27,25 - 34,Master's Degree,Marketing,Sales,Sales Executive,2,8,5-10 switches,1,0-2 switches,18,16-20 %,1,7,6-9 switches,0,0-3 switches,7
460,Current Employees,No,Male,37,35 - 44,Associates Degree,Medical,R&D,Manufacturing Director,2,8,5-10 switches,7,6+ switches,16,16-20 %,2,2,0-3 switches,0,0-3 switches,4
461,Current Employees,No,Male,38,35 - 44,Associates Degree,Life Sciences,R&D,Research Director,3,12,10-15 switches,0,0-2 switches,14,11-15 %,1,10,9-12 switches,2,0-3 switches,9
462,Current Employees,No,Female,31,25 - 34,Master's Degree,Medical,R&D,Manufacturing Director,3,11,10-15 switches,1,0-2 switches,14,11-15 %,0,9,6-9 switches,4,3-6 switches,10
463,Current Employees,No,Female,29,25 - 34,High School,Marketing,Sales,Sales Executive,2,7,5-10 switches,1,0-2 switches,14,11-15 %,2,7,6-9 switches,1,0-3 switches,7
464,Current Employees,No,Male,35,35 - 44,Master's Degree,Technical Degree,R&D,Manufacturing Director,3,17,15-20 switches,0,0-2 switches,13,11-15 %,0,6,3-6 switches,0,0-3 switches,13
465,Current Employees,No,Male,23,Under 25,High School,Life Sciences,R&D,Research Scientist,1,4,0-5 switches,1,0-2 switches,12,11-15 %,2,2,0-3 switches,0,0-3 switches,2
466,Current Employees,No,Male,41,35 - 44,Bachelor's Degree,Medical,R&D,Manufacturing Director,2,8,5-10 switches,6,3-6 switches,15,11-15 %,0,4,3-6 switches,1,0-3 switches,2
467,Current Employees,No,Male,47,45 - 54,High School,Medical,Sales,Sales Representative,2,5,0-5 switches,3,3-6 switches,19,16-20 %,0,0,0-3 switches,0,0-3 switches,0
468,Current Employees,No,Female,42,35 - 44,Doctoral Degree,Life Sciences,R&D,Research Director,4,16,15-20 switches,2,0-2 switches,14,11-15 %,0,0,0-3 switches,0,0-3 switches,0
469,Current Employees,No,Male,29,25 - 34,Bachelor's Degree,Life Sciences,Sales,Sales Executive,2,4,0-5 switches,1,0-2 switches,14,11-15 %,1,3,0-3 switches,0,0-3 switches,2
470,Current Employees,No,Male,42,35 - 44,High School,Technical Degree,HR,Human Resources,1,4,0-5 switches,0,0-2 switches,11,11-15 %,1,2,0-3 switches,1,0-3 switches,0
471,Current Employees,No,Female,32,25 - 34,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,8,5-10 switches,1,0-2 switches,13,11-15 %,1,0,0-3 switches,0,0-3 switches,7
473,Current Employees,No,Female,48,45 - 54,High School,Medical,Sales,Manager,3,15,10-15 switches,3,3-6 switches,21,21-25 %,1,0,0-3 switches,0,0-3 switches,0
474,Current Employees,No,Male,37,35 - 44,Bachelor's Degree,Medical,R&D,Research Scientist,2,13,10-15 switches,4,3-6 switches,13,11-15 %,2,7,6-9 switches,6,3-6 switches,7
475,Current Employees,No,Female,30,25 - 34,Associates Degree,Technical Degree,Sales,Sales Executive,2,4,0-5 switches,7,6+ switches,12,11-15 %,1,2,0-3 switches,2,0-3 switches,2
476,Current Employees,No,Male,26,25 - 34,Bachelor's Degree,Life Sciences,Sales,Sales Executive,2,8,5-10 switches,1,0-2 switches,17,16-20 %,1,7,6-9 switches,7,6-9 switches,7
477,Current Employees,No,Male,42,35 - 44,Master's Degree,Other,R&D,Healthcare Representative,2,14,10-15 switches,3,3-6 switches,23,21-25 %,0,0,0-3 switches,0,0-3 switches,0
478,Ex-Employees,Yes,Female,21,Under 25,High School,Technical Degree,Sales,Sales Representative,1,3,0-5 switches,1,0-2 switches,11,11-15 %,0,2,0-3 switches,1,0-3 switches,2
479,Current Employees,No,Female,36,35 - 44,Doctoral Degree,Medical,Sales,Sales Executive,2,7,5-10 switches,4,3-6 switches,15,11-15 %,0,0,0-3 switches,0,0-3 switches,0
481,Current Employees,No,Male,36,35 - 44,Master's Degree,Medical,Sales,Sales Executive,3,16,15-20 switches,4,3-6 switches,11,11-15 %,1,9,6-9 switches,1,0-3 switches,12
482,Current Employees,No,Male,57,Over 55,Master's Degree,Medical,R&D,Healthcare Representative,2,15,10-15 switches,2,0-2 switches,11,11-15 %,0,2,0-3 switches,1,0-3 switches,2
483,Current Employees,No,Female,40,35 - 44,Master's Degree,Life Sciences,R&D,Laboratory Technician,1,10,5-10 switches,3,3-6 switches,13,11-15 %,1,7,6-9 switches,1,0-3 switches,7
484,Current Employees,No,Male,21,Under 25,Associates Degree,Medical,Sales,Sales Representative,1,3,0-5 switches,1,0-2 switches,24,21-25 %,0,2,0-3 switches,2,0-3 switches,2
485,Ex-Employees,Yes,Female,33,25 - 34,Bachelor's Degree,Marketing,Sales,Sales Representative,1,1,0-5 switches,1,0-2 switches,13,11-15 %,0,0,0-3 switches,0,0-3 switches,0
486,Current Employees,No,Female,37,35 - 44,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,17,15-20 switches,6,3-6 switches,20,16-20 %,1,4,3-6 switches,0,0-3 switches,3
487,Current Employees,No,Female,46,45 - 54,Master's Degree,Medical,R&D,Manufacturing Director,2,7,5-10 switches,2,0-2 switches,14,11-15 %,0,0,0-3 switches,0,0-3 switches,0
488,Ex-Employees,Yes,Male,41,35 - 44,Bachelor's Degree,Marketing,Sales,Sales Executive,2,8,5-10 switches,1,0-2 switches,18,16-20 %,0,7,6-9 switches,7,6-9 switches,7
491,Current Employees,No,Male,50,45 - 54,Bachelor's Degree,Technical Degree,R&D,Healthcare Representative,3,20,15-20 switches,6,3-6 switches,15,11-15 %,0,3,0-3 switches,1,0-3 switches,3
492,Ex-Employees,Yes,Male,40,35 - 44,Associates Degree,Marketing,Sales,Sales Executive,2,8,5-10 switches,2,0-2 switches,12,11-15 %,2,4,3-6 switches,1,0-3 switches,0
493,Current Employees,No,Male,31,25 - 34,Master's Degree,Life Sciences,R&D,Research Scientist,1,3,0-5 switches,0,0-2 switches,16,16-20 %,0,2,0-3 switches,2,0-3 switches,2
494,Ex-Employees,Yes,Female,21,Under 25,Bachelor's Degree,Life Sciences,Sales,Sales Representative,1,1,0-5 switches,1,0-2 switches,15,11-15 %,0,0,0-3 switches,0,0-3 switches,0
495,Current Employees,No,Male,29,25 - 34,Bachelor's Degree,Life Sciences,R&D,Research Scientist,1,6,5-10 switches,9,6+ switches,16,16-20 %,0,2,0-3 switches,1,0-3 switches,2
496,Current Employees,No,Male,35,35 - 44,Master's Degree,Life Sciences,R&D,Healthcare Representative,2,10,5-10 switches,9,6+ switches,19,16-20 %,0,1,0-3 switches,0,0-3 switches,0
497,Current Employees,No,Male,27,25 - 34,Associates Degree,Medical,R&D,Laboratory Technician,1,5,0-5 switches,1,0-2 switches,11,11-15 %,1,2,0-3 switches,0,0-3 switches,4
498,Current Employees,No,Male,28,25 - 34,Master's Degree,Life Sciences,Sales,Sales Executive,2,7,5-10 switches,1,0-2 switches,16,16-20 %,0,5,3-6 switches,0,0-3 switches,7
499,Current Employees,No,Male,49,45 - 54,Bachelor's Degree,Other,R&D,Healthcare Representative,3,26,25-30 switches,8,6+ switches,24,21-25 %,0,2,0-3 switches,0,0-3 switches,0
500,Current Employees,No,Female,51,45 - 54,Associates Degree,Life Sciences,Sales,Sales Executive,2,18,15-20 switches,4,3-6 switches,11,11-15 %,1,7,6-9 switches,0,0-3 switches,7
501,Current Employees,No,Female,36,35 - 44,Bachelor's Degree,Life Sciences,R&D,Research Scientist,1,6,5-10 switches,4,3-6 switches,13,11-15 %,1,2,0-3 switches,2,0-3 switches,2
502,Ex-Employees,Yes,Male,34,25 - 34,Bachelor's Degree,Marketing,Sales,Sales Executive,2,9,5-10 switches,8,6+ switches,13,11-15 %,0,2,0-3 switches,0,0-3 switches,4
505,Current Employees,No,Female,55,Over 55,Bachelor's Degree,Life Sciences,R&D,Manager,4,30,25-30 switches,2,0-2 switches,13,11-15 %,0,4,3-6 switches,1,0-3 switches,2
507,Current Employees,No,Female,24,Under 25,Master's Degree,Marketing,Sales,Sales Executive,2,5,0-5 switches,1,0-2 switches,12,11-15 %,1,2,0-3 switches,0,0-3 switches,3
508,Current Employees,No,Male,30,25 - 34,High School,Technical Degree,Sales,Sales Representative,1,1,0-5 switches,1,0-2 switches,18,16-20 %,1,0,0-3 switches,0,0-3 switches,0
510,Ex-Employees,Yes,Male,26,25 - 34,High School,Technical Degree,R&D,Research Scientist,1,7,5-10 switches,0,0-2 switches,22,21-25 %,0,4,3-6 switches,0,0-3 switches,4
511,Current Employees,No,Female,22,Under 25,Bachelor's Degree,Medical,R&D,Research Scientist,1,2,0-5 switches,1,0-2 switches,13,11-15 %,1,1,0-3 switches,1,0-3 switches,2
513,Current Employees,No,Male,36,35 - 44,Associates Degree,Medical,Sales,Sales Executive,3,10,5-10 switches,1,0-2 switches,13,11-15 %,2,9,6-9 switches,9,6-9 switches,0
514,Ex-Employees,Yes,Male,30,25 - 34,Bachelor's Degree,Technical Degree,R&D,Research Scientist,1,3,0-5 switches,9,6+ switches,23,21-25 %,0,0,0-3 switches,0,0-3 switches,0
515,Current Employees,No,Female,37,35 - 44,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,1,18,15-20 switches,1,0-2 switches,12,11-15 %,1,7,6-9 switches,12,9-12 switches,17
516,Current Employees,No,Female,40,35 - 44,Associates Degree,Marketing,Sales,Sales Executive,2,8,5-10 switches,7,6+ switches,12,11-15 %,2,4,3-6 switches,1,0-3 switches,3
517,Current Employees,No,Female,42,35 - 44,Master's Degree,Life Sciences,R&D,Laboratory Technician,1,8,5-10 switches,3,3-6 switches,16,16-20 %,1,2,0-3 switches,1,0-3 switches,2
518,Current Employees,No,Male,37,35 - 44,Master's Degree,Life Sciences,R&D,Manufacturing Director,2,18,15-20 switches,2,0-2 switches,12,11-15 %,0,0,0-3 switches,0,0-3 switches,1
520,Current Employees,No,Male,43,35 - 44,Bachelor's Degree,Life Sciences,R&D,Research Director,4,25,20-25 switches,1,0-2 switches,11,11-15 %,1,10,9-12 switches,3,0-3 switches,9
521,Current Employees,No,Female,40,35 - 44,Bachelor's Degree,Medical,R&D,Laboratory Technician,2,20,15-20 switches,6,3-6 switches,22,21-25 %,1,0,0-3 switches,0,0-3 switches,0
522,Current Employees,No,Male,54,45 - 54,Associates Degree,Medical,R&D,Research Director,5,24,20-25 switches,4,3-6 switches,11,11-15 %,1,2,0-3 switches,1,0-3 switches,2
523,Current Employees,No,Female,34,25 - 34,Master's Degree,Marketing,Sales,Sales Executive,2,6,5-10 switches,9,6+ switches,15,11-15 %,1,2,0-3 switches,1,0-3 switches,2
524,Current Employees,No,Female,31,25 - 34,Associates Degree,Medical,R&D,Manufacturing Director,2,13,10-15 switches,1,0-2 switches,12,11-15 %,1,10,9-12 switches,3,0-3 switches,12
525,Current Employees,No,Male,43,35 - 44,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,8,5-10 switches,7,6+ switches,20,16-20 %,1,2,0-3 switches,1,0-3 switches,2
526,Current Employees,No,Female,43,35 - 44,Master's Degree,Other,R&D,Healthcare Representative,2,8,5-10 switches,4,3-6 switches,14,11-15 %,0,2,0-3 switches,0,0-3 switches,2
527,Current Employees,No,Female,25,25 - 34,Associates Degree,Life Sciences,Sales,Sales Executive,2,5,0-5 switches,1,0-2 switches,11,11-15 %,0,4,3-6 switches,1,0-3 switches,3
529,Current Employees,No,Female,37,35 - 44,Doctoral Degree,Medical,R&D,Research Scientist,2,15,10-15 switches,3,3-6 switches,15,11-15 %,2,11,9-12 switches,10,9-12 switches,7
530,Current Employees,No,Male,31,25 - 34,Associates Degree,Life Sciences,R&D,Laboratory Technician,1,4,0-5 switches,1,0-2 switches,12,11-15 %,1,2,0-3 switches,3,0-3 switches,2
531,Current Employees,No,Male,39,35 - 44,High School,Life Sciences,R&D,Manager,5,21,20-25 switches,1,0-2 switches,14,11-15 %,1,8,6-9 switches,1,0-3 switches,6
532,Current Employees,No,Female,56,Over 55,Bachelor's Degree,Life Sciences,Sales,Sales Executive,4,36,35+ switches,9,6+ switches,11,11-15 %,3,7,6-9 switches,7,6-9 switches,7
533,Current Employees,No,Female,30,25 - 34,Bachelor's Degree,Technical Degree,Sales,Sales Executive,2,6,5-10 switches,0,0-2 switches,11,11-15 %,0,4,3-6 switches,4,3-6 switches,4
534,Current Employees,No,Male,41,35 - 44,Bachelor's Degree,Marketing,Sales,Sales Executive,3,10,5-10 switches,1,0-2 switches,16,16-20 %,1,7,6-9 switches,0,0-3 switches,7
536,Current Employees,No,Male,28,25 - 34,Associates Degree,Medical,R&D,Laboratory Technician,2,10,5-10 switches,1,0-2 switches,12,11-15 %,1,0,0-3 switches,1,0-3 switches,8
538,Ex-Employees,Yes,Male,25,25 - 34,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,6,5-10 switches,5,3-6 switches,13,11-15 %,1,2,0-3 switches,0,0-3 switches,2
